SerHumano|Van del lado de la MAFIA pues.
MenosLamentoyMasAccion|@Bevilacqua #65 Cerrar Aznar, 192. Mazón, 228. Ayuso, 7291 Aznar 192? Y los del Yak-42? Todavía hay cuerpos allí de los militares que abandonó en suelo Murieron 62 militares españoles, el ministerio de defensa alquiló la aeronave más barata posible con tripulación de baja cualificación profesional, para traer a casa a los militares. ¡Qué catástrofe de gobierno el de Aznar!
0666|Dos razones más para no perder el tiempo.
river|@Utopilitologo #21 Cerrar @ river # 17 El Pacto entre partidos democráticos, es tan viejo como la democracia. Encuentra una papelera y tira allí tu .... El pacto entre partidos con ideología muy contraria, en las antípodas, solo se ha dado en España con Sánchez ¿Sabes otro caso? Pues ponlo.
EL_AVISPERO|Rajoy en la concentración? Pero si gracias a este cobarde y trolero estamos sufriendo al impresentable de Sánchez.
MenosLamentoyMasAccion|@GCQ #52 Cerrar Espero que fumiguen después por donde pase el elemento de la imagen desde luego, tiene cara decrépito endiablado el tipo. Recientemente ha dicho que Israel tiene que terminar el trabajo en Gaza, entre otras lindezas... todavía sigue buscando armas de destrucción masiva en Irak y a los etarras del 11-M, lleva frustrado media vida.y así es, un tipo amargado.
Hamman75|Ojalá se uniera Felipe González, creo que toca
ADELE_|@zagal2 #54 Cerrar @ ADELE_ # 41 En una democracia gobiernan los más votados, según lo decidan los votos ciudadanos. El voto de cada ciudadano vale lo mismo, sin que se permita a las minorías, contrarias a los intereses generales de los españoles y de la nación, imponer su modelo de Estado a las mayorías por defectos del diseño del régimen como el actual, cuyas costuras han reventado. Se ha impuesto un sistema que gobierna por el solo interés personal del poder por el poder y para las minorías disruptivas contrarias al sentir de la mayoría, cambiando el Estado sin consultar a la población, en una degeneración de las instituciones cada vez más totalitaria. El espectáculo de la partitocracia aforada, privilegiada, desmesurada, corrupta, enriquecida e impune es obsceno, las clases medias empobrecidas y dependientes. Se impide a los ciudadanos expresarse con referendums durante la legislatura en las cuestiones de su interés para controlar los excesos del actual régimen que permite tiranos. Pues Ayuso no fue la más votada en 2019 y gobernó. Hala, al rincón de pensar.
DerechonaFracasada|@zagal2 #61 Cerrar @ BELASTEGI # 37 Los votos de todos los independentistas en España suman menos que los votos que obtiene VOX. Ahí los tiene bien contados. Está claro que los intereses generales de los españoles no son los de quienes quieren destruir la soberanía de la nación española, a España. La gran mayoría de los españoles, por todas las encuestas se sienten españoles y quieren a España. Cuando desde el gobierno por intereses personales de tener el poder por el poder con los 7 votos que le faltan se favorece las causas de los independentistas mediante cohecho político y a cambio de la impunidad de los enemigos de España, se está gobernando favoreciendo a unas minorías cuyos intereses e ideología son contrarios a los intereses generales de los españoles, los nacionales de España y de la democracia. Ya ha salido la DERECHITA... fantástica.... Esa que no sabe ni cuantos son.......
Bevilacqua|Aznar, 192. Mazón, 228. Ayuso, 7291
DOBBY|Que se apliquen el cuento agarrados los dos de la pancarta. Pues si que dan ejemplo de DEMOCRACIA, Aznar y Rajoy. Este par de dos, si que dan el perfil de MAFIA y la de la frase "Relaxing cup of café con leche in Plaza Mayor"
DerechonaFracasada|@zorin #56 Cerrar Convocar la manifestación en solitario es un error. No aprenden. tranquilo que luego las cifras las ponen ellos mismos y crece exponencialmente... Asi es la VERDADERA MAFIA de la DERECHONA.
MenosLamentoyMasAccion|Poca la mafia que tenían montada en Génova 13....que cara tan dura tienen, desvergüenza. El primero con la Gran mentira de la democracia en el 11M el "ha sido ETA", y once de sus ministros procesados y​/o encarcelados, creo que Jaume Matas ha dejado la cárcel no hace mucho.. .Y el segundo repartiendo billetes de dinero negro como buen mafioso a todo quiski, además la reforma de lsu propia sede, está pagada con dinero que fue ocultado al fisco. Ambos dostambién fueron mafiosos, con sentencia en firme del la audiencia nacional de España y del tribunal Supremo. Anda que os sepa bueno el pasto de la plaza Colón.
zagal2|@BELASTEGI #37 Cerrar @ zagal2 # 28 ¿Queremos? ¿Cuántos? ¿En qué consiste exactamente la verdadera democracia? ¿Cuáles son exactamente los intereses generales de los españoles? Los votos de todos los independentistas en España suman menos que los votos que obtiene VOX. Ahí los tiene bien contados. Está claro que los intereses generales de los españoles no son los de quienes quieren destruir la soberanía de la nación española, a España. La gran mayoría de los españoles, por todas las encuestas se sienten españoles y quieren a España. Cuando desde el gobierno por intereses personales de tener el poder por el poder con los 7 votos que le faltan se favorece las causas de los independentistas mediante cohecho político y a cambio de la impunidad de los enemigos de España, se está gobernando favoreciendo a unas minorías cuyos intereses e ideología son contrarios a los intereses generales de los españoles, los nacionales de España y de la democracia.
DerechonaFracasada|DERECHONA no perdáis el tiempo, esperar hasta las próximas elecciones. Eso es la democracia y respetarla.
DerechonaFracasada|La VERDADERA MAFIA está en el PARTIDO POPULAR y VOX.... Pagar facturas falsas las obras de su cede central. Cargarse la CAJA de las PENSIONES CAJA B La mentira de la guerra de IRAK. La mentira del atentado de BARAJAS MAZON y su gran VENTORRO... En fin ahí en esa manifestación no me van a encontrar con la MAFIA de la DERECHONA.
Deotradimension|Mafiosos contra mafiosos, todos con el lema: ¡"Y tu más"! Y los borregos pensando: estos son los buenos, aquellos son los malos. País de pandereta!!!
Editora|@MalditaPandemia #11 Cerrar Que pasa que en España no hay democracia? acaso no hemos votado libremente? o lo que sucede es que no os gusta lo que se ha votado? desde que el PP no llego al poder siguen con el mantra de gobierno ilegítimo, por lo visto los únicos legítimos son ellos, que son seres de luz y si estuvieran en el gobierno lo harían todo tan bien que a los españoles nos daría para tener un par de chalets a cada uno, venga ya, no engañáis a nadie, ya sabemos que es lo que hacéis cuando llegáis al gobierno, este gobierno que tenemos no será perfecto, pero gobiernan mucho mejor que lo que lo hicisteis vosotros, y no pongo ejemplos porque no me llegan los caracteres. De momento VOX ha votado EN CONTRA del IMV que cobran los españoles arruinados tras la pandemia, que quedaron embargados de por vida. Ojito a éstos "patriotas" de bandera falsa...
zorin|Convocar la manifestación en solitario es un error. No aprenden.
divinopoeta1|Rajoy que poca Vergüenza de aparecer en algo. Ni se defendió en su mocion prefirió comer bien y beber ajeno a lo que pasaba y por su culpa y no convocar elecciones que habría ganado ocurrió lo que él sabía y como bien pusilánime gallego que es ni dio la cara porque es un vagazo de tomo y lomo. Si tuviera vergüenza estaría debajo de una piedra bien escondido.
zagal2|@ADELE_ #41 Cerrar @ zagal2 # 28 Y exigimos que, en esa nueva democracia, gobiernen siempre PP y Vox. Ya está bien que a veces gobiernen unos y otras veces otros, eso no nos gusta. En una democracia gobiernan los más votados, según lo decidan los votos ciudadanos. El voto de cada ciudadano vale lo mismo, sin que se permita a las minorías, contrarias a los intereses generales de los españoles y de la nación, imponer su modelo de Estado a las mayorías por defectos del diseño del régimen como el actual, cuyas costuras han reventado. Se ha impuesto un sistema que gobierna por el solo interés personal del poder por el poder y para las minorías disruptivas contrarias al sentir de la mayoría, cambiando el Estado sin consultar a la población, en una degeneración de las instituciones cada vez más totalitaria. El espectáculo de la partitocracia aforada, privilegiada, desmesurada, corrupta, enriquecida e impune es obsceno, las clases medias empobrecidas y dependientes. Se impide a los ciudadanos expresarse con referendums durante la legislatura en las cuestiones de su interés para controlar los excesos del actual régimen que permite tiranos.
RecensuradodElMundo|@JoseJuanMartinez #50 Cerrar Mafia el PP, Mafia PSOE, Mafia Sumar y Podemos. A los españoles solo les queda una via decente, se llama " Falange ". Si, la que tengo entre las piernas.
GCQ|Espero que fumiguen después por donde pase el elemento de la imagen
Vilanis|Feijoo aun no se ha enterado que el PSOE terminara la legislatura si o si. El PP quiere terminar con la corrupción política de este país?, donde están sus medidas?, o es que lo que le molesta es que estén robando los otros y ellos no puedan?
JoseJuanMartinez|Mafia el PP, Mafia PSOE, Mafia Sumar y Podemos. A los españoles solo les queda una via decente, se llama " Falange ".
ADELE_|@Peacemakerr #44 Cerrar Yo quiero ver a Felipe Gonzalez, A Alfonso Guerra, a Lamban y al Page! Ya está bien de dobles juegos! Tienen que renunciar a ser militantes de un partido mafioso y sanchista! El PSOE ya no existe! ¿Echa usted de menos el PSOE de Alfonso Guerra, señor? Pues es usted el único.
pedrodiablo|@Peacemakerr #44 Cerrar Yo quiero ver a Felipe Gonzalez, A Alfonso Guerra, a Lamban y al Page! Ya está bien de dobles juegos! Tienen que renunciar a ser militantes de un partido mafioso y sanchista! El PSOE ya no existe! Entonces el PP tampoco existe porque mienten más que hablan porque dijeron que jamás en la vida se unirían con la Ultraderecha de Vox y ahí están los dos haciendo el paripé.
antnnn|Motivo suficiente para ni acercarse con esta parejita,.... obligada asistencia para sus afiliados y cargos políticos, lo llevan en el sueldo.
Fegoms|Aznar se equivocó con Rajoy, del que casi todos hablan mal en estos foros y, en las primarias que había ganado Soraya en su primera fase, presionó para que en la fase de compromisarios ganase Casado, del que casi todos hablan mal en estos foros. Tras echar a Casado, era precipitado postular a Ayuso en ese congreso extraordinario que ganó Feijoo. Por si no lo saben, Feijoo es ese señor del que casi todos hablan mal en estos foros. En fin, si tantas ganas de cambio tienen los votantes madrileños del PP, que pidan que se presente Ayuso como candidata para reemplazar a Feijoo en el próximo congreso. Hombre, se presenta J. Luis Bayo, al que casi nadie conoce, y resulta que no se presenta Ayuso, teniendo el apoyo de Aznar, la Espe, Cayetana y Losantos con sus 800.000 devotos diarios. Los ayusistas debieran aprovechar la manifestación del día 8 para pedirle que sea califa en lugar del califa .Sería la cuarta jefatura del PP en 7 años, que no está mal.
ADELE_|@JLlamazares #43 Cerrar Feijoo, no te enteras ni del nodo. Una oposición de pandereta. Si está tan mal, "ten lo que tengas que tener" (mazonazo) y convoca una moción de censura. Si no lo haces porque la piensas perder, será por algo, habrá una representación de españoles que no la apoyan, y recurres a llorar, a la pataleta y a querer lograr el gobierno en la calle, no en la política. Ah, que tú no gobiernas porque no quieres... Una moción de censura como las dos que convocó Vox, que no sirvieron para nada? O una distinta?
Peacemakerr|Yo quiero ver a Felipe Gonzalez, A Alfonso Guerra, a Lamban y al Page! Ya está bien de dobles juegos! Tienen que renunciar a ser militantes de un partido mafioso y sanchista! El PSOE ya no existe!
JLlamazares|Feijoo, no te enteras ni del nodo. Una oposición de pandereta. Si está tan mal, "ten lo que tengas que tener" (mazonazo) y convoca una moción de censura. Si no lo haces porque la piensas perder, será por algo, habrá una representación de españoles que no la apoyan, y recurres a llorar, a la pataleta y a querer lograr el gobierno en la calle, no en la política. Ah, que tú no gobiernas porque no quieres...
JhonnyGin|Vergüenza debería darles a Rajoy y Aznar salir a la calle siquiera después del mal que han hecho...
ADELE_|@zagal2 #28 Cerrar La corrupta partitocracia del PPSOE es en sí misma la Mafia. Queremos una democracia verdadera en España. Hay que cambiar el régimen del 78 con nueva Constitución y leyes orgánicas que aseguren una democracia verdadera y el fin de la sobredimensionada casta política, tan inútil como corrupta, capaz de abandonar al pueblo español en una catástrofe, prohibiendo su rescate y socorro con los medios que había disponibles y que nos habían ofrecido, e imponer la Agenda 2030 para beneficio de globalistas extranjeros que arruinan los sectores económicos de los españoles favoreciendo el decrecimiento económico de las clases medias. Gobiernan con los enemigos de España, siempre cediendo ante las minorías separatistas, sin patriotismo y sin tener en cuenta los intereses generales de los españoles y los nacionales de España. Y exigimos que, en esa nueva democracia, gobiernen siempre PP y Vox. Ya está bien que a veces gobiernen unos y otras veces otros, eso no nos gusta.
pedrodiablo|Espero que el señor Aznar ,Rajoy,y Feijóo vayan a la Manifestación con el Martillo que hicieron desaparecer las pruebas al Juez de la trama de corrupción de la cúpula del PP, porque entonces esa manifestación sería una gran Mafia ilegal.
REEL|@Quetevotetxapapote #6 Cerrar ¿Otro "trifachito" de Colón? El resultado que les dió el anterior fue más bien nefasto: Cs fuera de la política y Casado fulminado. Feijóo, cuidadin... Por lo que se ve, prefieres el "trifachito" que actualmente nos desgobierna...
ADELE_|Se confirma que Ayuso liderará la manifestación con un pecho al aire. La libertad guiando al pueblo.
BELASTEGI|@zagal2 #28 Cerrar La corrupta partitocracia del PPSOE es en sí misma la Mafia. Queremos una democracia verdadera en España. Hay que cambiar el régimen del 78 con nueva Constitución y leyes orgánicas que aseguren una democracia verdadera y el fin de la sobredimensionada casta política, tan inútil como corrupta, capaz de abandonar al pueblo español en una catástrofe, prohibiendo su rescate y socorro con los medios que había disponibles y que nos habían ofrecido, e imponer la Agenda 2030 para beneficio de globalistas extranjeros que arruinan los sectores económicos de los españoles favoreciendo el decrecimiento económico de las clases medias. Gobiernan con los enemigos de España, siempre cediendo ante las minorías separatistas, sin patriotismo y sin tener en cuenta los intereses generales de los españoles y los nacionales de España. ¿Queremos? ¿Cuántos? ¿En qué consiste exactamente la verdadera democracia? ¿Cuáles son exactamente los intereses generales de los españoles?
REEL|Democracia, por supuesto, pero ni la del PSOE ni la del PP... A ver qué otro partido sabría respetar auténticamente una democracia... Ya, no hay ninguno.
YoungGuns|El mejor presidente de la democracia de España, nos llevó muy alto, GRACIAS. Junto al segundo mejor presidente, nos saco del abismo al que ZP nos llevaba, GRACIAS. Hoy YA estamos en un abismo social , económico, institucional, con el gobierno más corrupto, más antiespañol, más inepto. SÁNCHEZ DIMISIÓN
pelotuyo|7291 PA LANTE
pelotuyo|QUE VAYA RAJOY Y AZNAR ? PUES FALTA EL NARCO AMIGO DE FEIJOO
pelotuyo|AYUSO PALANTE
observarlo|El PP perdió la brújula hace mucho, bandazos, ocurrencias, campañas enormes con periodismo entregado en crear grandes biombos para ocultar sus miserias. El PP está desapareciendo ante nuestros ojos, lo avisé hace meses que es una máquina electoral de poder, nada más, porque Feijóo lo ha hundido, estallan las costuras de tanta presión interna, que Feijóo impide todo debate interno... los pierde, sólo quiere buenas fotos y ovaciones... ha sido letal... y juega sucio colocando el Congreso del PP cuando peor es para Ayuso, siempre juega sucio, como en Galicia. Hoy en Baleares el PP se ha entregado a Vox, en Murcia implora a Vox, en Extremadura es que Vox los desprecia... Estos partidos conservadores desaparecen en todos sitios, aquí a peor, que tan mal está que recula 25 años atrás mirándose en Aznar... es la debacle total, el PP está fatal.
ADELE_|"El Retiro cierra a partir de las 18.00 por rachas de viento y altas temperaturas el día de la inauguración de la Feria del Libro Según el último boletín extraordinario de la Aemet para la capital, se esperan rachas que alcanzarán máximos de 55 km por hora". Bueno, menos mal que en Madrid hacen caso a la AEMET. No como Mazón, que pasó mogollón.
ADELE_|Y Mazón? Me da un poco de miedo ese hombre.
zagal2|La corrupta partitocracia del PPSOE es en sí misma la Mafia. Queremos una democracia verdadera en España. Hay que cambiar el régimen del 78 con nueva Constitución y leyes orgánicas que aseguren una democracia verdadera y el fin de la sobredimensionada casta política, tan inútil como corrupta, capaz de abandonar al pueblo español en una catástrofe, prohibiendo su rescate y socorro con los medios que había disponibles y que nos habían ofrecido, e imponer la Agenda 2030 para beneficio de globalistas extranjeros que arruinan los sectores económicos de los españoles favoreciendo el decrecimiento económico de las clases medias. Gobiernan con los enemigos de España, siempre cediendo ante las minorías separatistas, sin patriotismo y sin tener en cuenta los intereses generales de los españoles y los nacionales de España.
Bevilacqua|Es verdad, Aznar, Rajoy, Feijoo. Esta mafia contra la democracia de nuestro gobierno!!!!
Detergente|Por decencia el capo debe dimitir para que la ciudadanía vote libremente si quiere que la higiene democrática vuelva a al país sin mafiosas cloacas,
Yonoencajo|¿Una hora para abordar todos los temas? O lo entiendo mal o esto es una tomadura de pelo. ¿Qué van consensuar en una hora? Lo único que podría resultar fructífero sería encerrarlos sin comida ni agua hasta que llegaran a un acuerdo sobre todos los temas. Pero no: hacemos el viajecito al país catalán; saludamos a sus autoridades; permitimos que silben al rey; nos reunimos una hora, y salimos diciendo que no ha habido acuerdo porque los otros son unos intolerantes. Así está el patio.
Masolta|Sin ánimo de minusvalorarse la entusiástica colaboración de la Sra. Armengol (quien accedió al cargo mostrando entre los dientes el carnet del partido) creo que no hay que complicarse tanto la vida.Quien salva a Sánchez no es la dilación hasta después del verano.Es el transcurso del tiempo porque entre hoy y su comparecencia (si es que comparece) habrán aflorado otros muchos pestilentes asuntos que harán que este se olvide.Táctica que le ha dado excelentes resultados.
jaumequalsevol|Esto es periodismo objetivo, la conferencia es un fracaso... antes de llevarse a cabo.
Silver|@arevacos #47 Cerrar Quien habla de mafia quienes es desde hace años la mafia mas productiva de España desde hace décadas. En el partido socialista claro que hay mafiosos ,como todos aquellos estamentos ,tanto estatales como privados que pululan por nuestro país. Prueba de ello es que hasta la Reina María Cristina era la mayor mafiosa de España en el siglo diecinueve, pues cobraba mordidas de todo lo que se movía en nuestro país. Que yo sepa actualmente el PSOE no tiene encarcelados dirigentes como el PP ,Así dejar de escupir al cielo por que de seguro os cae en la jeta, de todas todas.Feijoo ya no sabe que inventarse junto con sus secuaces para desbancar a Sánchez y alzarse con el santo y la limosna, sabedor que su tiempo se ha acabado y Sánchez es un muerto muy vivo. Porque cada vez que encarcelan a un socialista corrupto...viene el del "polvo (en la toga...no el blanco)" y lo indulta
XXXALMXXX|@arevacos #47 Cerrar Quien habla de mafia quienes es desde hace años la mafia mas productiva de España desde hace décadas. En el partido socialista claro que hay mafiosos ,como todos aquellos estamentos ,tanto estatales como privados que pululan por nuestro país. Prueba de ello es que hasta la Reina María Cristina era la mayor mafiosa de España en el siglo diecinueve, pues cobraba mordidas de todo lo que se movía en nuestro país. Que yo sepa actualmente el PSOE no tiene encarcelados dirigentes como el PP ,Así dejar de escupir al cielo por que de seguro os cae en la jeta, de todas todas.Feijoo ya no sabe que inventarse junto con sus secuaces para desbancar a Sánchez y alzarse con el santo y la limosna, sabedor que su tiempo se ha acabado y Sánchez es un muerto muy vivo. , ahora no toca hablar del pasado, porque el PP ya ha pagado y está en la oposición. Ahora toca hablar de los tuyos, de los que estan ahora. Que pasan los años y siguen robando. Empezó con Felipe González, siguió con ZP, que también tuvo sus casos y ahora anda Pedro Sánchez, batiendo todos los registros. Eso sin entrar en CCAA. Déjese de milongas, que con tantas leyes que aprueban, deberían aprobar una, que estipulara que partido corrupto, a la calle y que pase el siguiente, si éste vuelve a robar, enchufar, aforar a políticos para evitar penas, hacer trabajos de fontanería, etc, a la calle también, y que pase otra vez el siguiente. No intentar tapar las miserias y podredumbres, con paguicas, ayudas o subiditas de SMI. Porque el que se vende por un plato de lentejas, estaría normalizando la corrupción y la daría hasta por buena, con tal de que no le toquen el bolsillos y si encima le meten 30 euros mas al mes, hasta gritan VIVA LA CORRUPCIÓN.
55manu|PUNTO 1º Y MAS IMPORTANTE, SI NO ESTAN TODOS LOS PRESIDENTES, SIN DISTINCION ALGUNA, NO HAY CONFERENCIA.
malosera|Y porqué no amplian los días de reunión? Este País parece una broma de mal gusto!!!
arevacos|Quien habla de mafia quienes es desde hace años la mafia mas productiva de España desde hace décadas. En el partido socialista claro que hay mafiosos ,como todos aquellos estamentos ,tanto estatales como privados que pululan por nuestro país. Prueba de ello es que hasta la Reina María Cristina era la mayor mafiosa de España en el siglo diecinueve, pues cobraba mordidas de todo lo que se movía en nuestro país. Que yo sepa actualmente el PSOE no tiene encarcelados dirigentes como el PP ,Así dejar de escupir al cielo por que de seguro os cae en la jeta, de todas todas.Feijoo ya no sabe que inventarse junto con sus secuaces para desbancar a Sánchez y alzarse con el santo y la limosna, sabedor que su tiempo se ha acabado y Sánchez es un muerto muy vivo.
Doblon|@Demogracias #17 Cerrar @ Yonoencajo # 1 el pedir meter todo eso en una hora es una estrategia del PP para que no se hable de nada, solo hacer ruido, cobrar los 6000 euros cada uno de sus presidentes autonómicos, comer a costa del contribuyente y para casa sin haber hecho nada de nada por mejorar España, sólo busca mejorar su posición de cara a las elecciones porque de una reunión que podían salir acuerdos muy necesarios para España sólo va a salir barro y bien caro que nos va a costar. A mi me parece una irresponsabilidad de Feijo jugar a esto, haga política en otros sitios no en una reunión muy necesaria. Los zurdos,especialmente los que entráis en debate contra cualquier opinión que no sea la vuestra sois los que defendéis las continúas manipulaciones de este desgobierno. Patética tu opinión sobre las dietas y el almuerzo de los asistentes. Ya has intervenido bastante, descansa....tómate el bocadillo de mortadela , la botella de agua y mañana continúas.
Pan_Solo|@Demogracias #23 Cerrar @ jumielrodca # 15 los únicos desolados y desconcertados son los pobrecitos de PP y VOX que como esperaban gobernar hacieron una campaña electoral contra todos los partidos, se presentaron como los españoles de bien que van a volver a hacer una cruzada y claro cuándo los votos no salieron se tuvieron que arrastrar delante de JUNTS dándole el gustazo a Puch a mearles en la cara, desde entonces siguen arrastrándose hasta waterloo de vez en cuando prometiendo que ellos pueden hacer que los españoles de bien se traguen su vuelta a Cataluña porque se tragan lo que sea. qué película se ha visto usted?
barcetabis|@Rosbrut #21 Cerrar @ Demogracias # 17 no digas tntrias. Lo que es una estrategia es dedicar solo una hora para hablar de temas tan importantes. Sea de quien sea la culpa. Los justificadores del PSOE sois expertos en dar la vuelta a las cosas como un calcetín. Estos tíos (todos) cobran una barbaridad como para tener que quedarse una noche en un hotel y continuar al día siguiente una reunión tan importante. El PP sabe que metiendo todo que ha metido en el Orden del Dia, y con diecisiete Presidentes para tomar la palabra. No hay tiempo. Y la Conferencia sería un fiasco. Esa era su única intención. Ahora bien,tienes razón , que la alarguen al día siguiente . Pero tampoco lo harán. Aunque los del PSOE lo plantearan , el PP no lo aceptaría. Necesita vivir con la política barrio bajera en la que se ha instalado.
