Pep3z|Así que han mentido¿ que novedad en la prensa de izquierdas , y encima hablan de bulos.
Pedro_Balboa|@JohnMcCLANE_ #292 Cerrar Una cosa es que te cuenten que hay un correo del abogado a la fiscalía donde se reconoce el fraude fiscal, eso efectivamente puede haber sido cualquier miembro de la fiscalía, y otra cosa es filtrar el propio correo. Los periodistas del El País, que yo sepa, no han reconocido en ningún momento estar en posesión del correo. Tendrían que demostrarlo y eso no lo pueden hacer con lo que hubieran cometido un delito de falso testimonio. Ahí es donde está el quid de la cuestión. Porque el correo propiamente dicho lo filtró (presuntamente siempre) el mismo FGE. De hecho, llevo tiempo pensando que Sánchez no es el problema. sino la consecuencia, el reflejo de una sociedad aborregada que, prefiere estar sumida en la miseria, siempre y cuando el vecino esté un poquito más hundido
tienesrazon|@umbral2 #271 Cerrar El País hace muchos años que es el BOE del PSOE en su rama no oficial. Pero muchos muchos años. Los más jóvenes no lo han vivido, pero lo País ya defendió la corrupción de Filesa, Roldán, BOE, etc etc con tanto ahínco como los GAL. Es un periódico de partido, no de ciudadanos, como UGT es sindicato de partido y no de trabajadores.
Segistobre|@Pedro_Balboa #298 Cerrar @ Segistobre # 286 Mientes. Los periodistas registraron ante notario las conversaciones entre ellos que documentan que ellos ya conocían con anterioridad el contenido de lo que, después, filtró García Ortiz. García Ortiz, o cualquiera en posesión de los documentos, podría hablar del contenido de los mismos, lo cuál sería moralmente cuestionable. Pero ese no es el delito, el delito es haber difundido el documento original. ¿Lo entiendes? Yo puedo tener un video indecoroso tuyo, y comentarlo con todo el mundo que quiera, decir que lo he visto, que existe, que lo tengo porque me ha llegado de otra persona que lo filtró, y a su vez, aquellos a los que se lo cuento, difunden el rumor, pero eso no es delito. El delito es la difusión del video. Y si yo no puedo demostrar que ese video lo recibí de otras personas, el que comete el delito soy yo que es el último eslabón que se puede trazar. Creo que te lo he puesto fácil... Los periodistas de El País consignaron ante un notario mensajes y llamadas que acreditan que en la mañana del 12 de marzo de 2024 un trabajador de la Fiscalía de Madrid les confirmó que los abogados de González Amador negociaban un posible pacto.
Pedro_Balboa|@JohnMcCLANE_ #292 Cerrar Una cosa es que te cuenten que hay un correo del abogado a la fiscalía donde se reconoce el fraude fiscal, eso efectivamente puede haber sido cualquier miembro de la fiscalía, y otra cosa es filtrar el propio correo. Los periodistas del El País, que yo sepa, no han reconocido en ningún momento estar en posesión del correo. Tendrían que demostrarlo y eso no lo pueden hacer con lo que hubieran cometido un delito de falso testimonio. Ahí es donde está el quid de la cuestión. Porque el correo propiamente dicho lo filtró (presuntamente siempre) el mismo FGE. Es que es todo tan sencillo ¿ajustado a lo que usted expone, y que comparto¿ que no entiendo que alguien que no tenga intereses personales en este asunto pueda ofrecer otra versión de ello.
Pedro_Balboa|@Jorobado #296 Cerrar Tienen la información ante notario y no la dan cuando se abre el juicio? No tienen nada. Tienen conversaciones entre ellos hablando que conocen el contenido de los documentos que luego se filtraron. Pero eso no es delito, el delito es hacer públicos los documentos en sí, tal y como hizo el fiscal. Todo el mundo tenía conocimiento de los videos indecorosos de Pedro.J.Ramírez, y la gente divulgaba conocer el contenido de estos sin tener las pruebas gráficas de los mismos, lo cuál, no es delito en sí. El delito fue cometido por aquellos que lo hicieron público. Pero, ¿cómo hacer entender al que no quiere?
tienesrazon|@Bartleby #277 Cerrar @ tienesrazon # 159 tú eres muy especial. Y encima, en tu casa no lo saben. Deben ser casi tan especiales como tú. Casi, porque es imposible. jajajaja, ¿pero respondes algo al #131 Cerrar Los 4 periodistas han reconocido que no tenían el email antes que García Ortiz, pero dicen que conocían la información, bueno ¿y qué?, como si conocen la lista de los reyes godos, ¿lo publicaron?. Ya dijo el juez que poco habían aportado y tiene más razón que un santo, ¿qué tiene que ver éso con la revelación de secretos y su publicación que hizo el corrupto Fiscal General de Sánchez?. Si lo hubieran publicado sería otra cosa, así solo es un intento burdo de defender a su corrupto Fiscal General. ?. ¿O solo criiii criiii criiii?.
ADELE_|@JohnMcCLANE_ #292 Cerrar Una cosa es que te cuenten que hay un correo del abogado a la fiscalía donde se reconoce el fraude fiscal, eso efectivamente puede haber sido cualquier miembro de la fiscalía, y otra cosa es filtrar el propio correo. Los periodistas del El País, que yo sepa, no han reconocido en ningún momento estar en posesión del correo. Tendrían que demostrarlo y eso no lo pueden hacer con lo que hubieran cometido un delito de falso testimonio. Ahí es donde está el quid de la cuestión. Porque el correo propiamente dicho lo filtró (presuntamente siempre) el mismo FGE. Y han aparecido numerosas pruebas de que el fiscal filtró los correos, como por ejemplo "Churruca" y "Triskis".
Segistobre|Los periodistas de El País consignaron ante un notario mensajes y llamadas que acreditan que en la mañana del 12 de marzo de 2024 un trabajador de la Fiscalía de Madrid les confirmó que los abogados de González Amador negociaban un posible pacto.
MenosLamentoyMasAccion|@umbral2 #291 Cerrar @ Detergente # 270 Cuando veo por la calle a uno de tantos viejetes de las élites enarbolando el diario EP como si fuese un estandarte me provoca el mismo escalofrío que una peli en Filmin de los países del Este sobre cuando les gobernaba el socialismo. claro tú enorme tolerancia a lo contrario te produce un gran escalofrío. Tendrás que viajar un poco y salir de la caverna madrileña y así ver un poquito de otra cosa chato.
Pedro_Balboa|@Segistobre #286 Cerrar Otro medio dice: Cuatro periodistas de El País han ratificado este viernes en el Tribunal Supremo que conocieron la confesión de Alberto González Amador, pareja de Isabel Díaz Ayuso, 31 horas antes de que esa información llegara a manos del fiscal general del Estado, informan a elDiario.es fuentes jurídicas. Álvaro García Ortiz está investigado por revelar supuestamente esa información reservada. Mientes. Los periodistas registraron ante notario las conversaciones entre ellos que documentan que ellos ya conocían con anterioridad el contenido de lo que, después, filtró García Ortiz. García Ortiz, o cualquiera en posesión de los documentos, podría hablar del contenido de los mismos, lo cuál sería moralmente cuestionable. Pero ese no es el delito, el delito es haber difundido el documento original. ¿Lo entiendes? Yo puedo tener un video indecoroso tuyo, y comentarlo con todo el mundo que quiera, decir que lo he visto, que existe, que lo tengo porque me ha llegado de otra persona que lo filtró, y a su vez, aquellos a los que se lo cuento, difunden el rumor, pero eso no es delito. El delito es la difusión del video. Y si yo no puedo demostrar que ese video lo recibí de otras personas, el que comete el delito soy yo que es el último eslabón que se puede trazar. Creo que te lo he puesto fácil...
ADELE_|@N0RL #288 Cerrar @ ADELE_ # 265 hoy le damos una pildorita para que no encharque la cuna, pero una y no mas santo tomas ! Bueno, si es solo por hoy, me parece bien que conteste a UnoquepasTaba. Pero a las nueve en la cunita. Y sin el gusiluz, que luego hay frotis nocturnos.
Jorobado|Tienen la información ante notario y no la dan cuando se abre el juicio?
Segistobre|Ayer se conoció el procesamiento de Alberto Quirón y se envió a la cárcel al exnúmero dos del Ministerio del Interior con el Gobierno del PP con Rajoy a Francisco Martínez. Y ese mismo día Feijóo convoca una manifestación contra la podredumbre del PSOE. ¿No es un contrasentido?
ADELE_|@Sancheces #275 Cerrar @ ADELE_ # 250 ¿Entonces vas a tener el valor de salir a la calle y subirte a una carroza? POR FIN. # 238 Jajaja. Perdone, no me río de su triste comentario homófobo. Es que me acabo de acordar de que hace casi dos años humillaron a los franquistas de Vox en las urnas. Perdieron 19 escaños, aullaron de dolor y rabia. Y a mí me hizo gracia, no sé.
Segistobre|La Audiencia ha condenado condena a cierto medio y a su director, J.M., por los bulos sobre el sueldo de Silvia Intxaurrondo. El diario tiene tres días para rectificar los bulos sobre el sueldo de la periodista y, además, deberá pagar las costas de los juicios.
JohnMcCLANE_|Una cosa es que te cuenten que hay un correo del abogado a la fiscalía donde se reconoce el fraude fiscal, eso efectivamente puede haber sido cualquier miembro de la fiscalía, y otra cosa es filtrar el propio correo. Los periodistas del El País, que yo sepa, no han reconocido en ningún momento estar en posesión del correo. Tendrían que demostrarlo y eso no lo pueden hacer con lo que hubieran cometido un delito de falso testimonio. Ahí es donde está el quid de la cuestión. Porque el correo propiamente dicho lo filtró (presuntamente siempre) el mismo FGE.
umbral2|@Detergente #270 Cerrar ¿ De quien depende el diario El País ? Pues eso Cuando veo por la calle a uno de tantos viejetes de las élites enarbolando el diario EP como si fuese un estandarte me provoca el mismo escalofrío que una peli en Filmin de los países del Este sobre cuando les gobernaba el socialismo.
Segistobre|Y otro medio diferente cuenta la noticia d esta manera: Este viernes los cuatro periodistas de El País citados como testigos en la causa contra el fiscal general del Estado por un delito de revelación de secretos han ratificado ante el juez Hurtado que les llegó el contenido del correo con la confesión del novio de Ayuso de fuentes diferentes a la Fiscalía General del Estado, y que dicha información la obtuvieron durante la mañana del 12 de marzo de 2024, más de 24 horas antes de que el mail le llegara al fiscal general.
NoEsEsto|La UCO es la que afirmó que el hermano de Sánchez tenía 2 millones de euros? Pues , fiabilidad, lo que se dice fiabilidad...pues poca.
N0RL|@ADELE_ #265 Cerrar @ N0RL # 252 Uf, menos mal, por fin alguien contesta a Pasti. No sabe usted el mes que lleva, pidiendo casito de rodillas y toooodo el foro pasando de su culete. Es usted muy buena persona. hoy le damos una pildorita para que no encharque la cuna, pero una y no mas santo tomas !
lukaslukas|El Mundo manipula la información, como siempre. La sesga la tergiversa hasta que parece lo contrario de lo que es
Segistobre|Otro medio dice: Cuatro periodistas de El País han ratificado este viernes en el Tribunal Supremo que conocieron la confesión de Alberto González Amador, pareja de Isabel Díaz Ayuso, 31 horas antes de que esa información llegara a manos del fiscal general del Estado, informan a elDiario.es fuentes jurídicas. Álvaro García Ortiz está investigado por revelar supuestamente esa información reservada.
Pedro_Balboa|@Bartleby #273 Cerrar @ Pedro_Balboa # 174 Pues tu comprensión lectora parece que proviene del tercer ojo, del marrón. Qué dura debe ser la vida para vosotros. Pues mucho ajo, mucha agua y todo el tejo del mundo. Y lo que te queda. ¿Acaso la noticia refuta algo de lo que he expuesto?
veterano|Estos pseudoperiodistas, tienen menos credibilidad, que el panfleto donde trabajan.
Segistobre|El juez Peinado rectifica y anula su reclamación de un informe sobre el rescate de Air Europa. El magistrado dice ahora que se equivocó y renuncia a esa línea de investigación, como la Audiencia de Madrid le ordenó en tres ocasiones.
Bartleby|@anbormar #256 Cerrar @ ADELE_ # 240 Oye, perdona, tu no te llamarás Leyre, por casualidad ??? Es que me suenas¿¿. y tú no habrás escrito mal la palabra anormal? Te define mejor, ciertamente.
Bartleby|@Anny #259 Cerrar Y que van a decir los SUBVENCIONADOS DEL PAIS ?pues lo que les mande el jefe de la banda que es quien les paga claro porque la frutona no paga a El Inmundo para la blanquee y vox no una a la basura esa de vozpopuli. Tenéis una neurona más que un pollino. Pero la tenéis de vacaciones permanentes.
Segistobre|Este viernes han declarado ante el magistrado del Tribunal Supremo, Ángel Hurtado, cuatro periodistas de El País. A la salida de la declaración, los cuatro han explicado que le han contado al juez que, además de lo aportado en el acta notarial que presentaron en la que aseveran que tuvieron conocimiento del acuerdo en el que el abogado del novio de Ayuso, Carlos Neira, reconocía dos delitos antes del fiscal general del Estado, también tienen una serie de mensajes de WhatsApp que volverían a acreditar este hecho.
ADELE_|@umbral2 #271 Cerrar El País hace muchos años que es el BOE del PSOE en su rama no oficial. @Detergente #270 Cerrar ¿ De quien depende el diario El País ? Pues eso El País tiene mucho que aprender de la independencia y el buen hacer de El Mundo. No sé si han leído su artículo sobre Mazón, "La Danita Bonita".
Bartleby|@umbral2 #271 Cerrar El País hace muchos años que es el BOE del PSOE en su rama no oficial. y el Inmundo es la hojilla parroquial de la frutona y te parece fetén. Cosas de que te sobre un cromosoma en el par 21.
Bartleby|@tienesrazon #159 Cerrar @ Bartleby # 153 # 131. tú eres muy especial. Y encima, en tu casa no lo saben. Deben ser casi tan especiales como tú. Casi, porque es imposible.
anbormar|@ElVentorro #258 Cerrar Cuatro periodistas de EL PAÍS han ratificado en el Tribunal Supremo que conocían los detalles de las negociaciones entre el abogado de Alberto González Amador y la Fiscalía al menos 31 horas antes de que esa información llegara a manos del fiscal general del Estado en la noche del 13 de marzo. Lo dice el propio diario , que algo sabrá de lo que han declarado Y lo dicen ahora ????? Venga ya, de verdad siguen vendiéndote la burra !!!!
Sancheces|@ADELE_ #250 Cerrar @ Sancheces # 238 Ya, pronto llega el Orgullo y los franquistas voxeros se van a pasar el mes entero rabiando JO QUÉ PENA ¿Entonces vas a tener el valor de salir a la calle y subirte a una carroza? POR FIN. #238 Cerrar @ ADELE_ # 214 Tú tampoco te subiste a una carroza del Orgullo y dijiste que habías transicionado. Ah, que te avergüenzas, pues nada.
Segistobre|La misma noticia en otro medio: Cuatro periodistas ratifican en el Supremo que conocieron la confesión de la pareja de Ayuso 36 horas antes que el fiscal general La informadores consignaron ante un notario mensajes y llamadas que acreditan que en la mañana del 12 de marzo de 2024 un trabajador de la Fiscalía de Madrid les confirmó que los abogados de González Amador negociaban un posible pacto.
Bartleby|@Pedro_Balboa #174 Cerrar @ Bartleby # 153 Llamar «rebaño» al resto cuando se carece de comprensión lectora es, cuando menos, aventurado. Los mal denominados «periodistas» ¿licenciados en Periodismo, que no ejercientes¿ se ratifican en su declaración de que conocieron la filtración antes que (supuestamente) llegara a manos del Fiscal General, pero sin aportar ninguna prueba de ello más que enorme jeta. No es tan difícil. Son los Meletos, Ánito y Licón pero en defensa del delincuente en vez de acusación del inocente Pues tu comprensión lectora parece que proviene del tercer ojo, del marrón. Qué dura debe ser la vida para vosotros. Pues mucho ajo, mucha agua y todo el tejo del mundo. Y lo que te queda.
Bartleby|@pispas #217 Cerrar @ MenosLamentoyMasAccion # 182 Eso lo decidirá el juez... Esa misma noche, después de que el fiscal general lo recibiera, se difundió el correo previo en que la defensa reconocía los delitos fiscales. A diferencia de García Ortiz y otros miembros de la cúpula fiscal, Rodríguez no borró sus mensajes tras abrirse una investigación, lo que permitió a la Guardia Civil reconstruir las gestiones frenéticas del fiscal general y atribuirle un "papel preeminente" en la filtración... Porfavor, os cagan en el plato y coméis con gusto cómo si fuera caviar ¿¿¿¿¿¿¿¿¿¿¿¿¿¿¿¿¿¿¿¿ nadie come más de eso que dices en el plato que un fachapobre. No inventes, que los mayores coprófagos sois vosotros. Hasta rebañáis el plato, que parecéis la escena del banquete de Saló.
umbral2|El País hace muchos años que es el BOE del PSOE en su rama no oficial.
Detergente|¿ De quien depende el diario El País ? Pues eso
ADELE_|@anbormar #257 Cerrar @ espantajo # 243 Estoy viendo mucho huido del boletín oficial país, debe ser que la ruina ya no les da, ni para tener un foro donde adorar a su amo !!!! A mí también me da mucha rabia que entren aquí demócratas a opinar.
MenosLamentoyMasAccion|@tienesrazon #245 Cerrar Mira que Dolores Delgado era mala, sectaria y corrupta porque conocía a unos jueces que se iban con menores y lo ocultó, o porque dijo que información vaginal éxito garantizado. Pero es que llegó éste y aún es peor. Seguro que Sánchez ya está buscando a otro fiscal corrupto para hacerlo Fiscal General, madre mía que degeneración de democracia con Sánchez, increíble. el ministro de justicia Rafael Catalá, José Manuel Maza, fiscal general con Rajoy, fueron reprobados en el congreso de los diputados por abrumadora mayoría, por incumplimiento grave de sus funciones al negarse a investigar al corrupto presidente ppero de Murcia e¿injerencia¿ en procedimientos judiciales en los que están investigados cargos públicos del Partido Popular.
Bartleby|@anbormar #251 Cerrar Los mamporreros al rescate !!! Vergüenza de periodistas, para su profesión !!!! hombre, para mamporreros los de el mundo, que son la hojilla parroquial de la frutona y mintieron durante años con el 11M.
Pedro_Balboa|@MenosLamentoyMasAccion #253 Cerrar @ Madison # 220 tú hubieras borrado tu móvil si sabes que te van a investigar. Yo también, no quiero que se sepan mis asuntos privados. El FGE tiene y maneja información muy sensible de muchos ciudadanos, empresas etc etcétera, hizo bien en borrar y así proteger el anónimato de muchas personas en asuntos que sólo la justicia puede saber. ¿Tú hubieras borrado tu teléfono si en él hubiera pruebas que te exculpan, aun a riesgo de ser condenado por un delito que no has cometido, sólo para que no se sepan otros asuntos que, de ser legales, no debería importarte que se supieran? Vete a la playa
ADELE_|@N0RL #252 Cerrar @ uno_que_pasaba # 242 es que no mereces más que zascas, NO es objeto de instrucción esto : ¿Y si ya se conocía y no hubo filtración por qué borró los correos y hasta cambió de móvil?, gusiluz, pañal y a mimir. Uf, menos mal, por fin alguien contesta a Pasti. No sabe usted el mes que lleva, pidiendo casito de rodillas y toooodo el foro pasando de su culete. Es usted muy buena persona.
Pedro_Balboa|@MenosLamentoyMasAccion #246 Cerrar @ Madison # 225 seguramente la hubo, que lo hiciera el fiscal general es otra cosa muy diferente, las declaraciones y pruebas presentadas hoy , dicen que se ya habían filtrado los datos antes de que el fiscal supuestamente mandara el mail. Por lo tanto, el pacto era de dominio público y no hay revelación de secretos. Los periodistas tenían la información previamente al famoso mail. Lo entiendes o hay explicarte más despacio? Yo puedo decir que sé de la existencia de un video tuyo vestido de peluche y siendo sodomizado por diez africanos, puedo haber visto el video de marras. Pero tener conocimiento de algo y hacer público ese conocimiento no es delito, el delito estaría en difundir ese video . ¿Entiendes?
ADELE_|@MenosLamentoyMasAccion #242 Cerrar # MenosLamentoyMasAccion # 182 ¿Y si ya se conocía y no hubo filtración por qué borró los correos y hasta cambió de móvil? Venga, que ahora ferraz ha dado ésa consigna para intentar convencernos de que no hay caso FG, por supuesto... Se lo pido por favor, conteste a unoquepasTaba. Es un asunto de vida o muerte, el bebé del foro ya no puede más. Y su pañal está reventón.
ElVentorro|@tienesrazon #231 Cerrar Ningún rojo responde al # 131 porque solo les sale criiii criiii criiii... Por que es mentira . No merece ni respuesta .
Ulises10|¡Cómo no! el diario pesebrero y cloaquero lo PAÍS, al auxilio del gobierno de la PSOE, faltará más.
Pedro_Balboa|@espantajo #243 Cerrar @ tienesrazon # 231 No te enteras. Se acusa al FGE de revelación de secreto, pero el asunto era conocido por decenas de personas y ya, no era, secreto. Si no hay secreto, no hay revelación de se reto. Y no olvides que al FGE se le acusaba de emitir una nota, que la sala del Supremo controlada por detrás tuvo que admitir como perfectamente legal así que para, estirar el chicle, se inventaron lo de la, revelación de secretos, de lo que ninguna, acusacion había acusado al FGE para, que el caso quedara con el pepejuez que no supo adivinar quien era un tal MRajoy Te pongo un ejemplo. Una menor se graba manteniendo relaciones sexuales con su novio, éste se lo envía a un amigo, y éste amigo se lo muestra a toda su clase de la escuela (sn enviar el contenido). Entonces el que ha mostrado el video a su clase, dice que él no es el primero que tuvo el video, pero por no delatar a aquel, borra todos sus dispositivos imposibilitando rastrear el original. Lo mandan a juicio, y sus compañeros de escuela van al juez diciendo que si bien él les mostró el video, resulta que alguien antes les había hablado del contenido de ese video: la chica del video le comentó a sus amigas que estaba preocupada porque se había grabado con el novio y ahora temía que se supiera, y las amigas cuchichearon sobre la existencia de ese video). ¿Crees que un juez normal eximiría de delito al que lo ha mostrado? En todo caso el que lo ha mostrado es un culpable más de una cadena, de la que no se conoce el inicio.
Anny|Y que van a decir los SUBVENCIONADOS DEL PAIS ?pues lo que les mande el jefe de la banda que es quien les paga
ElVentorro|Cuatro periodistas de EL PAÍS han ratificado en el Tribunal Supremo que conocían los detalles de las negociaciones entre el abogado de Alberto González Amador y la Fiscalía al menos 31 horas antes de que esa información llegara a manos del fiscal general del Estado en la noche del 13 de marzo. Lo dice el propio diario , que algo sabrá de lo que han declarado
anbormar|@espantajo #243 Cerrar @ tienesrazon # 231 No te enteras. Se acusa al FGE de revelación de secreto, pero el asunto era conocido por decenas de personas y ya, no era, secreto. Si no hay secreto, no hay revelación de se reto. Y no olvides que al FGE se le acusaba de emitir una nota, que la sala del Supremo controlada por detrás tuvo que admitir como perfectamente legal así que para, estirar el chicle, se inventaron lo de la, revelación de secretos, de lo que ninguna, acusacion había acusado al FGE para, que el caso quedara con el pepejuez que no supo adivinar quien era un tal MRajoy Estoy viendo mucho huido del boletín oficial país, debe ser que la ruina ya no les da, ni para tener un foro donde adorar a su amo !!!!
anbormar|@ADELE_ #240 Cerrar @ espantajo # 227 Pero en serio está intentando razonar con @ tienesrazon? Pero si a la corrupción del PP él la llama "La chavala", no le digo más. Oye, perdona, tu no te llamarás Leyre, por casualidad ??? Es que me suenas¿¿.
MenosLamentoyMasAccion|@pispas #217 Cerrar @ MenosLamentoyMasAccion # 182 Eso lo decidirá el juez... Esa misma noche, después de que el fiscal general lo recibiera, se difundió el correo previo en que la defensa reconocía los delitos fiscales. A diferencia de García Ortiz y otros miembros de la cúpula fiscal, Rodríguez no borró sus mensajes tras abrirse una investigación, lo que permitió a la Guardia Civil reconstruir las gestiones frenéticas del fiscal general y atribuirle un "papel preeminente" en la filtración... Porfavor, os cagan en el plato y coméis con gusto cómo si fuera caviar ¿¿¿¿¿¿¿¿¿¿¿¿¿¿¿¿¿¿¿¿ cómo sabes que Rodríguez no borró los mensajes? El juez instructor no ordenó a la UCO revisar su teléfono móvil, ni cuando fue a declarar ni posteriomente.
ADELE_|Amiga @N0RL #223 Cerrar @ MenosLamentoyMasAccion # 209 sorry. #244 Cerrar @ N0RL # 223 ¿Le has querido decir sorry o zorry? Queda mucho más guay en inglés ¿Verdad? Así hasta parece que eres un poco inteligente. , por favor, conteste a unoquepasTAba. ¿No ve que en este foro todos pasan de su culete? ¿No le da pena ese señor cincuentón con pañal y sonajero? No le ignore.
MenosLamentoyMasAccion|@Madison #220 Cerrar @ Havane # 70 ¿esos que borró el fiscal en un ejercicio de "total transparencia"??? tú hubieras borrado tu móvil si sabes que te van a investigar. Yo también, no quiero que se sepan mis asuntos privados. El FGE tiene y maneja información muy sensible de muchos ciudadanos, empresas etc etcétera, hizo bien en borrar y así proteger el anónimato de muchas personas en asuntos que sólo la justicia puede saber.
N0RL|@uno_que_pasaba #242 Cerrar # MenosLamentoyMasAccion # 182 ¿Y si ya se conocía y no hubo filtración por qué borró los correos y hasta cambió de móvil? Venga, que ahora ferraz ha dado ésa consigna para intentar convencernos de que no hay caso FG, por supuesto... es que no mereces más que zascas, NO es objeto de instrucción esto : ¿Y si ya se conocía y no hubo filtración por qué borró los correos y hasta cambió de móvil?, gusiluz, pañal y a mimir.
anbormar|Los mamporreros al rescate !!! Vergüenza de periodistas, para su profesión !!!!
ADELE_|@Sancheces #238 Cerrar @ ADELE_ # 214 Tú tampoco te subiste a una carroza del Orgullo y dijiste que habías transicionado. Ah, que te avergüenzas, pues nada. Ya, pronto llega el Orgullo y los franquistas voxeros se van a pasar el mes entero rabiando JO QUÉ PENA
_Placebo72|@tienesrazon #131 Cerrar Los 4 periodistas han reconocido que no tenían el email antes que García Ortiz, pero dicen que conocían la información, bueno ¿y qué?, como si conocen la lista de los reyes godos, ¿lo publicaron?. Ya dijo el juez que poco habían aportado y tiene más razón que un santo, ¿qué tiene que ver éso con la revelación de secretos y su publicación que hizo el corrupto Fiscal General de Sánchez?. Si lo hubieran publicado sería otra cosa, así solo es un intento burdo de defender a su corrupto Fiscal General. Pues es muy sencillo de entender, infeliz: cómo c.jones va a revelar el FG un secreto que ya sabian los periodistas muchísimas horas antes y procedente de otras fuentes? Vaya tontadas que escribe el friki este.
tienesrazon|@espantajo #243 Cerrar @ tienesrazon # 231 No te enteras. Se acusa al FGE de revelación de secreto, pero el asunto era conocido por decenas de personas y ya, no era, secreto. Si no hay secreto, no hay revelación de se reto. Y no olvides que al FGE se le acusaba de emitir una nota, que la sala del Supremo controlada por detrás tuvo que admitir como perfectamente legal así que para, estirar el chicle, se inventaron lo de la, revelación de secretos, de lo que ninguna, acusacion había acusado al FGE para, que el caso quedara con el pepejuez que no supo adivinar quien era un tal MRajoy #241 Cerrar @ espantajo # 227 ¿Cómo cómo, que el secreto era conocido por decenas de personas y no era secreto?, jajajaja jajajaja, madre mía que nivel. Ya te lo dirá la Justicia si es secreto o no. Otra cosa es que lo hubieran publicado, pero así me da igual que los periodistas de lo País digan que conocían esa información, que conocen la lista de los reyes godos, o que conocen todos los ríos de España, ya ves tú. Ortiz palante, y su corrupto jefe también irá antes o después. . No lo voy a repetir.
uno_que_pasaba|@ADELE_ #222 Cerrar @ tienesrazon # 212 Si, cero euros fue lo que Rajoy destinó a los enfermos de ELA. Bueno, sí, los despreció, qué pasa. y tú más, por supuesto. El PSOE ha tenido que pactar con el PP para sacar la ley ELA porque no pudo contar con sus supuestos socios, y como ha salido sin una provisión de fondos es papel mojado, Cuca, a ver si te enteras de una vez...
MenosLamentoyMasAccion|@Madison #225 Cerrar @ MenosLamentoyMasAccion # 182 ahora resulta que no hubo filtración, venga va, los socialistas cuando estáis desesperados sois la mar de patéticos pero ocurrentes. Hay que ver el equipo de fontaneros de la moncloa. Se están empeñando a fondo últimamente. seguramente la hubo, que lo hiciera el fiscal general es otra cosa muy diferente, las declaraciones y pruebas presentadas hoy , dicen que se ya habían filtrado los datos antes de que el fiscal supuestamente mandara el mail. Por lo tanto, el pacto era de dominio público y no hay revelación de secretos. Los periodistas tenían la información previamente al famoso mail. Lo entiendes o hay explicarte más despacio?
tienesrazon|Mira que Dolores Delgado era mala, sectaria y corrupta porque conocía a unos jueces que se iban con menores y lo ocultó, o porque dijo que información vaginal éxito garantizado. Pero es que llegó éste y aún es peor. Seguro que Sánchez ya está buscando a otro fiscal corrupto para hacerlo Fiscal General, madre mía que degeneración de democracia con Sánchez, increíble.
uno_que_pasaba|@N0RL #223 Cerrar @ MenosLamentoyMasAccion # 209 sorry. ¿Le has querido decir sorry o zorry? Queda mucho más guay en inglés ¿Verdad? Así hasta parece que eres un poco inteligente.
espantajo|@tienesrazon #231 Cerrar Ningún rojo responde al # 131 porque solo les sale criiii criiii criiii... No te enteras. Se acusa al FGE de revelación de secreto, pero el asunto era conocido por decenas de personas y ya, no era, secreto. Si no hay secreto, no hay revelación de se reto. Y no olvides que al FGE se le acusaba de emitir una nota, que la sala del Supremo controlada por detrás tuvo que admitir como perfectamente legal así que para, estirar el chicle, se inventaron lo de la, revelación de secretos, de lo que ninguna, acusacion había acusado al FGE para, que el caso quedara con el pepejuez que no supo adivinar quien era un tal MRajoy
uno_que_pasaba|#MenosLamentoyMasAccion #182 Cerrar @ tienesrazon # 135 lo importante no es el mail, lo relevante es que ya se conocía el pacto fiscalía - Glez. Amador, era de dominio público, y por lo tanto no hubo revelación de secretos, no te enteras! ¿Y si ya se conocía y no hubo filtración por qué borró los correos y hasta cambió de móvil? Venga, que ahora ferraz ha dado ésa consigna para intentar convencernos de que no hay caso FG, por supuesto...
tienesrazon|@espantajo #227 Cerrar @ tienesrazon # 212 el titular es engañoso y lo sabes. El "secreto" era conocido por decenas de personas y ya no era secreto. Si no hay secreto, no hay desvelacion de secreto. Eso es todo. Se acabó el chicle, salvo que vayan p'alante MAR y el novio por perjurio, que de haber justicia en la sala del Supremo controlada por atrás, irían. ¿Cómo cómo, que el secreto era conocido por decenas de personas y no era secreto?, jajajaja jajajaja, madre mía que nivel. Ya te lo dirá la Justicia si es secreto o no. Otra cosa es que lo hubieran publicado, pero así me da igual que los periodistas de lo País digan que conocían esa información, que conocen la lista de los reyes godos, o que conocen todos los ríos de España, ya ves tú. Ortiz palante, y su corrupto jefe también irá antes o después.
ADELE_|@espantajo #227 Cerrar @ tienesrazon # 212 el titular es engañoso y lo sabes. El "secreto" era conocido por decenas de personas y ya no era secreto. Si no hay secreto, no hay desvelacion de secreto. Eso es todo. Se acabó el chicle, salvo que vayan p'alante MAR y el novio por perjurio, que de haber justicia en la sala del Supremo controlada por atrás, irían. Pero en serio está intentando razonar con @tienesrazon? Pero si a la corrupción del PP él la llama "La chavala", no le digo más.
ADELE_|@tienesrazon #231 Cerrar Ningún rojo responde al # 131 porque solo les sale criiii criiii criiii... Dicen que hay un hombre más cobarde que tienesrazon. ¿Ustedes lo conocen? Yo no.
Sancheces|@ADELE_ #214 Cerrar @ Madison # 207 Y no fuiste ayer a la manifestación en Valencia para exigir la dimisión de Mazón? Habías dicho que perdiste un familiar en la Dana, no? Ah que eres sumisa, pues nada. Tú tampoco te subiste a una carroza del Orgullo y dijiste que habías transicionado. Ah, que te avergüenzas, pues nada.
